time_ms,prop_valve_ma,sol_valve,trig
1359,12.0,0,0
1360,12.0,0,0
1361,12.0,0,0
1362,12.0,0,0
1363,12.0,0,0
1364,12.0,0,0
1365,12.0,0,0
1366,12.0,0,0
1367,12.0,0,0
1368,12.0,0,0
1369,12.0,0,0
1370,12.0,0,0
1371,12.0,0,0
1372,12.0,0,0
1373,12.0,0,0
1374,12.0,0,0
1375,12.0,0,0
1376,12.0,0,0
1377,12.0,0,0
1378,12.0,0,0
1379,12.0,0,0
1380,12.0,0,0
1381,12.0,0,0
1382,12.0,0,0
1383,12.0,0,0
1384,12.0,0,0
1385,12.0,0,0
1386,12.0,0,0
1387,12.0,0,0
1388,12.0,0,0
1389,12.0,0,0
1390,12.0,0,0
1391,12.0,0,0
1392,12.0,0,0
1393,12.0,0,0
1394,12.0,0,0
1395,12.0,0,0
1396,12.0,0,0
1397,12.0,0,0
1398,12.0,0,0
1399,12.0,0,0
1400,12.0,0,0
1401,12.0,0,0
1402,12.0,0,0
1403,12.0,0,0
1404,12.0,0,0
1405,12.0,0,0
1406,12.0,0,0
1407,12.0,0,0
1408,12.0,0,0
1409,12.0,0,0
1410,12.0,0,0
1411,12.0,0,0
1412,12.0,0,0
1413,12.0,0,0
1414,12.0,0,0
1415,12.0,0,0
1416,12.0,0,0
1417,12.0,0,0
1418,12.0,0,0
1419,12.0,0,0
1420,12.0,0,0
1421,12.0,0,0
1422,12.0,0,0
1423,12.0,0,0
1424,12.0,0,0
1425,12.0,0,0
1426,12.0,0,0
1427,12.0,0,0
1428,12.0,0,0
1429,12.0,0,0
1430,12.0,0,0
1431,12.0,0,0
1432,12.0,0,0
1433,12.0,0,0
1434,12.0,0,0
1435,12.0,0,0
1436,12.0,0,0
1437,12.0,0,0
1438,12.0,0,0
1439,12.0,0,0
1440,12.0,0,0
1441,12.0,0,0
1442,12.0,0,0
1443,12.0,0,0
1444,12.0,0,0
1445,12.0,0,0
1446,12.0,0,0
1447,12.0,0,0
1448,12.0,0,0
1449,12.0,0,0
1450,12.0,0,0
1451,12.0,0,0
1452,12.0,0,0
1453,12.0,0,0
1454,12.0,0,0
1455,12.0,0,0
1456,12.0,0,0
1457,12.0,0,0
1458,12.0,0,0
1459,12.0,0,0
1460,12.0,0,0
1461,12.0,0,0
1462,12.0,0,0
1463,12.0,0,0
1464,12.0,0,0
1465,12.0,0,0
1466,12.0,0,0
1467,12.0,0,0
1468,12.0,0,0
1469,12.0,0,0
1470,12.0,0,0
1471,12.0,0,0
1472,12.0,0,0
1473,12.0,0,0
1474,12.0,0,0
1475,12.0,0,0
1476,12.0,0,0
1477,12.0,0,0
1478,12.0,0,0
1479,12.0,0,0
1480,12.0,0,0
1481,12.0,0,0
1482,12.0,0,0
1483,12.0,0,0
1484,12.0,0,0
1485,12.0,0,0
1486,12.0,0,0
1487,12.0,0,0
1488,12.0,0,0
1489,12.0,0,0
1490,12.0,0,0
1491,12.0,0,0
1492,12.0,0,0
1493,12.0,0,0
1494,12.0,0,0
1495,12.0,0,0
1496,12.0,0,0
1497,12.0,0,0
1498,12.0,0,0
1499,12.0,0,0
1500,12.0,1,0
1501,12.0,1,0
1502,12.0,1,0
1503,12.0,1,0
1504,12.0,1,0
1505,12.0,1,0
1506,20.0,1,0
1507,20.0,1,0
1508,20.0,1,0
1509,20.0,1,0
1510,20.0,1,0
1511,20.0,1,0
1512,20.0,1,0
1513,20.0,1,0
1514,20.0,1,0
1515,20.0,1,0
1516,20.0,1,0
1517,20.0,1,0
1518,20.0,1,0
1519,20.0,1,0
1520,20.0,1,0
1521,20.0,1,0
1522,20.0,1,0
1523,20.0,1,0
1524,20.0,1,0
1525,20.0,1,0
1526,20.0,1,0
1527,20.0,1,0
1528,20.0,1,0
1529,20.0,1,0
1530,20.0,1,0
1531,20.0,1,0
1532,20.0,1,0
1533,20.0,1,0
1534,20.0,1,0
1535,20.0,1,0
1536,20.0,1,0
1537,20.0,1,0
1538,20.0,1,0
1539,20.0,1,0
1540,20.0,1,0
1541,20.0,1,0
1542,20.0,1,0
1543,20.0,1,0
1544,20.0,1,0
1545,20.0,1,0
1546,20.0,1,0
1547,20.0,1,0
1548,20.0,1,0
1549,20.0,1,0
1550,20.0,1,0
1551,20.0,1,0
1552,20.0,1,0
1553,20.0,1,0
1554,20.0,1,0
1555,20.0,1,0
1556,20.0,1,0
1557,20.0,1,0
1558,20.0,1,0
1559,20.0,1,0
1560,20.0,1,0
1561,20.0,1,0
1562,20.0,1,0
1563,20.0,1,0
1564,20.0,1,0
1565,20.0,1,0
1566,20.0,1,0
1567,20.0,1,0
1568,20.0,1,0
1569,20.0,1,0
1570,20.0,1,0
1571,20.0,1,0
1572,20.0,1,0
1573,20.0,1,0
1574,20.0,1,0
1575,20.0,1,0
1576,20.0,1,0
1577,20.0,1,0
1578,20.0,1,0
1579,20.0,1,0
1580,20.0,1,0
1581,20.0,1,0
1582,20.0,1,0
1583,20.0,1,0
1584,20.0,1,0
1585,20.0,1,0
1586,20.0,1,0
1587,20.0,1,0
1588,20.0,1,0
1589,20.0,1,0
1590,20.0,1,0
1591,20.0,1,0
1592,20.0,1,0
1593,20.0,1,0
1594,20.0,1,0
1595,20.0,1,0
1596,20.0,1,0
1597,20.0,1,0
1598,20.0,1,0
1599,20.0,1,0
1600,20.0,1,0
1601,20.0,1,0
1602,20.0,1,0
1603,20.0,1,0
1604,20.0,1,0
1605,20.0,1,0
1606,20.0,1,0
1607,20.0,1,0
1608,20.0,1,0
1609,20.0,1,0
1610,20.0,1,0
1611,20.0,1,0
1612,20.0,1,0
1613,20.0,1,0
1614,20.0,1,0
1615,20.0,1,0
1616,20.0,1,0
1617,20.0,1,0
1618,20.0,1,0
1619,20.0,1,0
1620,20.0,1,0
1621,20.0,1,0
1622,20.0,1,0
1623,20.0,1,0
1624,20.0,1,0
1625,20.0,1,0
1626,20.0,1,0
1627,20.0,1,0
1628,20.0,1,0
1629,20.0,1,0
1630,20.0,1,0
1631,20.0,1,0
1632,20.0,1,0
1633,20.0,1,0
1634,20.0,1,0
1635,20.0,1,0
1636,20.0,1,0
1637,20.0,1,0
1638,20.0,1,0
1639,20.0,1,0
1640,20.0,1,0
1641,20.0,1,0
1642,20.0,1,0
1643,20.0,1,0
1644,20.0,1,0
1645,20.0,1,0
1646,20.0,1,0
1647,20.0,1,0
1648,20.0,1,0
1649,20.0,1,0
1650,20.0,1,0
1651,20.0,1,0
1652,20.0,1,0
1653,20.0,1,0
1654,20.0,1,0
1655,20.0,1,0
1656,20.0,1,0
1657,20.0,1,0
1658,20.0,1,0
1659,20.0,1,0
1660,20.0,1,0
1661,20.0,1,0
1662,20.0,1,0
1663,20.0,1,0
1664,20.0,1,0
1665,20.0,1,0
1666,20.0,1,0
1667,20.0,1,0
1668,20.0,1,0
1669,20.0,1,0
1670,20.0,1,0
1671,20.0,1,0
1672,20.0,1,0
1673,20.0,1,0
1674,20.0,1,0
1675,20.0,1,0
1676,20.0,1,0
1677,20.0,1,0
1678,20.0,1,0
1679,20.0,1,0
1680,20.0,1,0
1681,20.0,1,0
1682,20.0,1,0
1683,20.0,1,0
1684,20.0,1,0
1685,20.0,1,0
1686,20.0,1,0
1687,20.0,1,0
1688,20.0,1,0
1689,20.0,1,0
1690,20.0,1,0
1691,20.0,1,0
1692,20.0,1,0
1693,20.0,1,0
1694,20.0,1,0
1695,20.0,1,0
1696,20.0,1,0
1697,20.0,1,0
1698,20.0,1,0
1699,20.0,1,0
1700,20.0,1,0
1701,20.0,1,0
1702,20.0,1,0
1703,20.0,1,0
1704,20.0,1,0
1705,20.0,1,0
1706,20.0,1,0
1707,20.0,1,0
1708,20.0,1,0
1709,20.0,1,0
1710,20.0,1,0
1711,20.0,1,0
1712,20.0,1,0
1713,20.0,1,0
1714,20.0,1,0
1715,20.0,1,0
1716,20.0,1,0
1717,20.0,1,0
1718,20.0,1,0
1719,20.0,1,0
1720,20.0,1,0
1721,20.0,1,0
1722,20.0,1,0
1723,20.0,1,0
1724,20.0,1,0
1725,20.0,1,0
1726,20.0,1,0
1727,20.0,1,0
1728,20.0,1,0
1729,20.0,1,0
1730,20.0,1,0
1731,20.0,1,0
1732,20.0,1,0
1733,20.0,1,0
1734,20.0,1,0
1735,20.0,1,0
1736,20.0,1,0
1737,20.0,1,0
1738,20.0,1,0
1739,20.0,1,0
1740,20.0,1,0
1741,20.0,1,0
1742,20.0,1,0
1743,20.0,1,0
1744,20.0,1,0
1745,20.0,1,0
1746,20.0,1,0
1747,20.0,1,0
1748,20.0,1,0
1749,20.0,1,0
1750,20.0,1,0
1751,20.0,1,0
1752,20.0,1,0
1753,20.0,1,0
1754,20.0,1,0
1755,20.0,1,0
1756,20.0,1,0
1757,20.0,1,0
1758,20.0,1,0
1759,20.0,1,0
1760,20.0,1,0
1761,20.0,1,0
1762,20.0,1,0
1763,20.0,1,0
1764,20.0,1,0
1765,20.0,1,0
1766,20.0,1,0
1767,20.0,1,0
1768,20.0,1,0
1769,20.0,1,0
1770,20.0,1,0
1771,20.0,1,0
1772,20.0,1,0
1773,20.0,1,0
1774,20.0,1,0
1775,20.0,1,0
1776,20.0,1,0
1777,20.0,1,0
1778,20.0,1,0
1779,20.0,1,0
1780,20.0,1,0
1781,20.0,1,0
1782,20.0,1,0
1783,20.0,1,0
1784,20.0,1,0
1785,20.0,1,0
1786,20.0,1,0
1787,20.0,1,0
1788,20.0,1,0
1789,20.0,1,0
1790,20.0,1,0
1791,20.0,1,0
1792,20.0,1,0
1793,20.0,1,0
1794,20.0,1,0
1795,20.0,1,0
1796,20.0,1,0
1797,20.0,1,0
1798,20.0,1,0
1799,20.0,1,0
1800,20.0,1,0
1801,20.0,1,0
1802,20.0,1,0
1803,20.0,1,0
1804,20.0,1,0
1805,20.0,1,0
1806,12.0,0,0
1807,12.0,0,0
1808,12.0,0,0
1809,12.0,0,0
1810,12.0,0,0
1811,12.0,0,0
1812,12.0,0,0
1813,12.0,0,0
1814,12.0,0,0
1815,12.0,0,0
1816,12.0,0,0
1817,12.0,0,0
1818,12.0,0,0
1819,12.0,0,0
1820,12.0,0,0
1821,12.0,0,0
1822,12.0,0,0
1823,12.0,0,0
1824,12.0,0,0
1825,12.0,0,0
1826,12.0,0,0
1827,12.0,0,0
1828,12.0,0,0
1829,12.0,0,0
1830,12.0,0,0
1831,12.0,0,0
1832,12.0,0,0
1833,12.0,0,0
1834,12.0,0,0
1835,12.0,0,0
1836,12.0,0,0
1837,12.0,0,0
1838,12.0,0,0
1839,12.0,0,0
1840,12.0,0,0
1841,12.0,0,0
1842,12.0,0,0
1843,12.0,0,0
1844,12.0,0,0
1845,12.0,0,0
1846,12.0,0,0
1847,12.0,0,0
1848,12.0,0,0
1849,12.0,0,0
1850,12.0,0,0
1851,12.0,0,0
1852,12.0,0,0
1853,12.0,0,0
1854,12.0,0,0
1855,12.0,0,0
1856,12.0,0,0
1857,12.0,0,0
1858,12.0,0,0
1859,12.0,0,0
1860,12.0,0,0
1861,12.0,0,0
1862,12.0,0,0
1863,12.0,0,0
1864,12.0,0,0
1865,12.0,0,0
1866,12.0,0,0
1867,12.0,0,0
1868,12.0,0,0
1869,12.0,0,0
1870,12.0,0,0
1871,12.0,0,0
1872,12.0,0,0
1873,12.0,0,0
1874,12.0,0,0
1875,12.0,0,0
1876,12.0,0,0
1877,12.0,0,0
1878,12.0,0,0
1879,12.0,0,0
1880,12.0,0,0
1881,12.0,0,0
1882,12.0,0,0
1883,12.0,0,0
1884,12.0,0,0
1885,12.0,0,0
1886,12.0,0,0
1887,12.0,0,0
1888,12.0,0,0
1889,12.0,0,0
1890,12.0,0,0
1891,12.0,0,0
1892,12.0,0,0
1893,12.0,0,0
1894,12.0,0,0
1895,12.0,0,0
1896,12.0,0,0
1897,12.0,0,0
1898,12.0,0,0
1899,12.0,0,0
1900,12.0,0,0
1901,12.0,0,0
1902,12.0,0,0
1903,12.0,0,0
1904,12.0,0,0
1905,12.0,0,0
1906,12.0,0,0
